isbn13,gender,age,bukbu,dalseochild,dowon,bonly,sungseo,topic,bookname,bookurl
9788936478513,M,8,1,0,0,0,1,4,테라 인코그니타 =고고학자 강인욱이 들려주는 미지의 역사 /Terra incognita,https://image.aladin.co.kr/product/25967/84/cover/8936478516_1.jpg
9791190266024,F,14,1,0,1,0,0,18,"중세 이야기 :신들과 전쟁, 기사들의 시대",https://image.aladin.co.kr/product/26681/97/cover/k082730980_1.jpg
9788963574332,F,40,1,0,0,0,0,10,일본의 근대화와 민중사상,https://image.aladin.co.kr/product/26544/13/cover/8963574334_1.jpg
9788984355446,F,14,1,0,0,0,0,2,영국사 다이제스트100,https://image.aladin.co.kr/product/26550/4/cover/8984355445_1.jpg
9791197293498,M,40,1,0,0,0,1,18,"변신의 역사 :늑대인간부터 지킬 박사까지, 신화와 전설과 예술 속 기이한 존재들의 흔적을 따라서",https://image.aladin.co.kr/product/26430/77/cover/k222738629_1.jpg
9791163500384,M,20,1,0,0,0,0,19,"미국, 미국사 =The United States of America",https://image.aladin.co.kr/product/26625/31/cover/k372739238_1.jpg
9791164842254,M,8,1,0,0,1,1,1,"메트로폴리스 :인간의 가장 위대한 발명품, 도시의 역사로 보는 인류문명사",https://image.aladin.co.kr/product/26361/47/cover/k322738124_1.jpg
9788932920894,F,30,1,0,0,1,1,10,"독재자가 되는 법 :히틀러부터 김일성까지, 20세기의 개인숭배",https://image.aladin.co.kr/product/26537/67/cover/8932920893_1.jpg
9791160684377,M,50,1,0,0,0,0,18,대한독립 대장정,https://image.aladin.co.kr/product/26574/1/cover/k572739366_1.jpg
9788934990833,F,40,1,0,0,0,0,1,김성곤의 중국한시기행 :유장한 물결 따라 시인의 숨결 찾아,https://image.aladin.co.kr/product/26660/69/cover/893499083x_1.jpg
9791191215014,F,8,1,0,0,0,0,3,"궁궐과 왕릉, 600년 조선문화를 걷다",https://image.aladin.co.kr/product/26550/11/cover/k502738835_1.jpg
9791197004599,F,14,1,0,0,1,0,4,깊은 멕시코 :부정당한 문명,https://image.aladin.co.kr/product/26612/78/cover/k302739030_1.jpg
9791190422635,F,14,1,0,0,0,0,10,2차 세계대전의 민중사 :민중의 전쟁 vs 제국의 전쟁,https://image.aladin.co.kr/product/26605/85/cover/k732739412_1.jpg
9791191056471,F,14,1,0,0,1,1,12,휴먼카인드 :감춰진 인간 본성에서 찾은 희망의 연대기,https://image.aladin.co.kr/product/25967/85/cover/k892738525_1.jpg
9791190313766,F,40,1,0,0,0,0,13,후회 방지 대화 사전 :잘못된 말버릇으로 관계를 망칠까 봐 걱정될 때마다 꺼내 보는,https://image.aladin.co.kr/product/26566/10/cover/k542738033_1.jpg
9791189134235,F,40,1,0,0,0,0,8,황홀한 사람,https://image.aladin.co.kr/product/26743/84/cover/k812730488_1.jpg
9788932038230,F,30,1,0,1,0,1,1,환한 숨 :조해진 소설집,https://image.aladin.co.kr/product/26537/71/cover/8932038236_1.jpg
9788954675543,F,14,1,0,0,1,0,10,호박색 밤 :실비 제르맹 장편소설,https://image.aladin.co.kr/product/26628/67/cover/8954675549_1.jpg
9791196848477,F,40,1,0,0,0,0,7,혼자가 되었지만 홀로 설 수 있다면 :카이스트를 떠나 스님으로 살아온 이야기,https://image.aladin.co.kr/product/26681/41/cover/k832730988_1.jpg
9791163161479,F,14,1,0,1,0,0,3,"한성부, 달 밝은 밤에 :김이삭 장편소설",https://bookthumb-phinf.pstatic.net/cover/180/070/18007013.jpg?type=m1&udate=20210326
9788954677240,F,20,1,0,0,0,0,1,피노키오의 코에 관한 진실 :레이프 페르손 장편소설,https://image.aladin.co.kr/product/26411/44/cover/895467724x_1.jpg
9788998690557,F,30,1,0,0,0,0,19,(타이난 골목) 노포 산책 :낭만이 깃든 작고 오래된 가게 노포 탐방기,https://image.aladin.co.kr/product/26665/76/cover/8998690551_1.jpg
9788982182693,F,40,1,0,0,0,0,4,타오르다 :방현희 소설집,https://image.aladin.co.kr/product/26714/37/cover/8982182691_1.jpg
9788983928528,F,60,1,0,0,0,0,18,카오스 워킹,https://image.aladin.co.kr/product/26548/85/cover/8983928522_1.jpg
9791158161330,M,20,1,0,1,1,0,11,"케이팝 시대를 항해하는 콘서트 연출기 :소극장에서 웸블리 스타디움까지, 케이팝 콘서트 연출 노트",https://image.aladin.co.kr/product/26731/86/cover/k992730381_1.jpg
9791190457149,F,40,1,0,0,0,1,12,질문이 답이 되는 순간,https://image.aladin.co.kr/product/26603/71/cover/k912739010_1.jpg
9788998697938,F,30,1,0,0,0,0,18,주말여행 :김미리 단편집,https://bookthumb-phinf.pstatic.net/cover/180/591/18059100.jpg?type=m1&udate=20210303
9791196927905,F,40,1,0,0,0,0,18,제주 토박이는 제주가 싫습니다 :현요아 에세이,https://image.aladin.co.kr/product/26675/86/cover/k452730880_1.jpg
9791170222200,F,14,1,0,0,0,0,17,제 코가 석 자입니다만,https://image.aladin.co.kr/product/26648/7/cover/k492739331_1.jpg
9788937413711,F,50,1,0,0,1,1,10,전국축제자랑 :김혼비·박태하 에세이,https://image.aladin.co.kr/product/26573/22/cover/893741371x_1.jpg
9791166493249,M,30,1,0,0,0,0,3,"자전거 타는 여자, 요리하는 남자 :당신과 나의 일기",https://image.aladin.co.kr/product/26605/5/cover/k742739118_1.jpg
9788936438371,F,14,1,0,0,0,1,1,우리의 사람들 :박솔뫼 소설집,https://image.aladin.co.kr/product/25967/86/cover/8936438379_1.jpg
9788973435289,F,14,1,0,0,1,0,13,아무도 미워하지 않는 자의 죽음,https://image.aladin.co.kr/product/26068/9/cover/8973435280_1.jpg
9788936434465,F,40,1,0,1,1,1,1,아버지에게 갔었어 :신경숙 장편소설,https://image.aladin.co.kr/product/26602/37/cover/8936434462_1.jpg
9788937473319,F,40,1,0,1,1,1,8,스노볼 드라이브 :조예은 장편소설,https://bookthumb-phinf.pstatic.net/cover/180/045/18004516.jpg?type=m1&udate=20210218
9791197026133,F,20,1,0,0,0,0,19,소설 재미있게 읽는 법 :발견하고 창조하는 소설 읽기,https://image.aladin.co.kr/product/26715/65/cover/k482730083_1.jpg
9788932038339,M,14,1,0,0,0,0,12,소설 보다 :봄 2021,https://image.aladin.co.kr/product/26725/73/cover/8932038333_1.jpg
9791166493133,F,6,1,0,0,0,0,18,세모난 오렌지 =월드스타가 된 평범한 뱀파이어 이야기 /Triangular orange,https://image.aladin.co.kr/product/26549/97/cover/k332738835_1.jpg
9788965457114,F,40,1,0,0,0,0,3,선생님의 보글보글,https://image.aladin.co.kr/product/25967/84/cover/8965457114_1.jpg
9791165453343,M,40,1,0,0,0,0,11,서원 :정문 소설,https://image.aladin.co.kr/product/26607/84/cover/k072739124_1.jpg
9791159350818,F,30,1,0,0,0,0,4,산이 좋아졌어,https://image.aladin.co.kr/product/26535/5/cover/k482738626_1.jpg
9791162850749,M,20,1,0,0,0,0,11,생리 중이야,https://image.aladin.co.kr/product/26709/64/cover/k082730080_2.jpg
9791196797782,F,14,1,0,0,0,0,16,사랑에 장애가 있나요? :권주리 에세이,https://image.aladin.co.kr/product/26648/93/cover/k612739332_1.jpg
9788950994105,F,8,1,0,0,0,0,2,사진가의 기억법 :김규형 에세이,https://image.aladin.co.kr/product/26254/21/cover/8950994100_1.jpg
9788954677592,F,14,1,0,0,0,0,1,사육장 쪽으로 :편혜영 소설,https://image.aladin.co.kr/product/26655/59/cover/8954677592_1.jpg
9791190234139,F,8,1,0,0,0,0,19,보이지 않는 것들,https://image.aladin.co.kr/product/26548/89/cover/k312738832_1.jpg
9791130635545,F,40,1,0,0,0,0,16,"보이지 않는 가위손 :공포의 서사, 선망의 서사",https://image.aladin.co.kr/product/26681/10/cover/k742730887_1.jpg
9791191056464,F,20,1,0,1,1,0,1,변두리 로켓 :고스트,https://bookthumb-phinf.pstatic.net/cover/180/052/18005254.jpg?type=m1&udate=20210315
9791157211500,F,40,1,0,0,0,0,8,발칙한 불여우 연대기 :프로야구 가상리포팅,https://image.aladin.co.kr/product/26553/91/cover/k462738939_1.jpg
9788954677554,M,14,1,0,0,0,0,9,미스 콥 한밤중에 자백을 듣다 :에이미 스튜어트 장편소설,https://image.aladin.co.kr/product/26645/22/cover/895467755x_1.jpg
9788932920979,F,40,1,0,0,1,0,18,밤불의 딸들 :야 지야시 장편소설,https://image.aladin.co.kr/product/26701/66/cover/8932920974_1.jpg
9788984374232,F,40,1,0,1,0,0,18,뮤직숍 :레이철 조이스 장편소설,https://bookthumb-phinf.pstatic.net/cover/180/587/18058781.jpg?type=m1&udate=20210303
9791191131079,M,30,1,0,0,0,0,18,메모리 레인,https://image.aladin.co.kr/product/25967/85/cover/k592738227_1.jpg
9791130635521,F,8,1,0,0,0,0,3,만인의 인문학 :삶의 예술(the art of living)로서의 인문학,https://image.aladin.co.kr/product/26681/18/cover/k902730988_1.jpg
9791191308969,F,14,1,0,0,0,0,12,망하고 망해도 또 연애,https://image.aladin.co.kr/product/26549/22/cover/k732738833_1.jpg
9788982182730,F,40,1,0,0,0,0,16,"로체가 있던 자리, 금호동 :정승재 소설집",https://bookthumb-phinf.pstatic.net/cover/180/060/18006019.jpg?type=m1&udate=20210218
9788947546928,F,14,1,0,0,0,0,12,"루이 비뱅, 화가가 된 파리의 우체부",https://image.aladin.co.kr/product/26543/98/cover/8947546925_1.jpg
9791163161400,F,8,1,0,0,0,0,10,독도함 :김태우·배상열 장편소설,https://bookthumb-phinf.pstatic.net/cover/180/338/18033849.jpg?type=m1&udate=20210303
9791166290305,F,40,1,0,0,0,0,8,도끼부인의 달달한 시골살이,https://image.aladin.co.kr/product/26719/9/cover/k972730087_1.jpg
9791156162018,F,20,1,0,0,0,0,4,도서관 별책부록 :우리는 도서관에 산다,https://image.aladin.co.kr/product/26559/98/cover/k552738937_1.jpg
9788954677837,F,30,1,0,1,1,1,2,더 좋은 곳으로 가자 :능력에 요령을 더하면 멋지게 갈 수 있다,https://image.aladin.co.kr/product/26602/23/cover/8954677835_1.jpg
9788937463754,F,40,1,0,0,0,0,16,대사들,https://image.aladin.co.kr/product/26544/73/cover/893746375x_1.jpg
9791188476299,F,14,1,0,0,0,0,8,"다이어트에 진심입니다 :150cm, 88kg의 여자가 44kg을 덜어내고 얻은 것들",https://image.aladin.co.kr/product/26681/94/cover/k992730980_1.jpg
9791162445129,F,20,1,0,0,0,0,16,단게 사젠 :신강담,https://image.aladin.co.kr/product/26556/43/cover/k352738930_1.jpg
9791157844869,F,40,1,0,0,0,1,2,누구 먼저 살려야 할까 :깐깐한 의사 제이콥의 슬기로운 의학윤리 상담소,https://image.aladin.co.kr/product/26550/80/cover/k922738836_1.jpg
9791190710169,F,40,1,0,0,0,0,10,"다시, 여행을 가겠습니다 =Again, travel",https://image.aladin.co.kr/product/26614/86/cover/k852739033_1.jpg
9791162445143,F,8,1,0,0,0,0,16,누구 :탐정소설,https://image.aladin.co.kr/product/26556/40/cover/k082738930_1.jpg
9791190337687,F,40,1,0,0,0,0,13,(내가 만난) 소년에 대하여,https://image.aladin.co.kr/product/26669/60/cover/k802730780_1.jpg
9788959407569,F,20,1,0,1,0,0,12,노가다 칸타빌레 :송주홍 순수 노동에세이,https://image.aladin.co.kr/product/26645/43/cover/8959407569_1.jpg
9788968332982,F,20,1,0,0,0,0,2,나도 한 문장 잘 쓰면 바랄 게 없겠네,https://image.aladin.co.kr/product/26682/75/cover/8968332983_1.jpg
9791189533588,F,14,1,0,0,0,0,12,나이답게가 아니라 나답게 :원현정 에세이,https://image.aladin.co.kr/product/26716/0/cover/k082730084_1.jpg
9791189683832,F,14,1,0,0,0,0,9,끝내주는 맞춤법 :쓰는 사람을 위한 반복의 힘,https://image.aladin.co.kr/product/26553/3/cover/k582738938_1.jpg
9788946473577,F,40,1,0,0,0,0,4,길모퉁이 오래된 집 :근대건축에 깃든 우리 이야기,https://image.aladin.co.kr/product/26549/92/cover/8946473576_1.jpg
9791190278553,M,40,1,0,0,0,0,4,그럴싸한 오늘,https://image.aladin.co.kr/product/26564/57/cover/k002738031_1.jpg
9791136264473,M,8,1,0,1,1,1,4,그녀는 다 계획이 있다 :히가시노 게이고 장편소설,https://image.aladin.co.kr/product/26427/0/cover/k182738525_1.jpg
9788965742074,F,40,1,0,0,0,0,4,"그리고, 유리코는 혼자가 되었다 :기도 소타 장편소설",https://image.aladin.co.kr/product/26541/73/cover/8965742072_1.jpg
9791160262261,F,8,1,0,0,0,0,10,고스트 인 러브 :마르크 레비 장편소설,https://image.aladin.co.kr/product/26700/17/cover/k312730984_1.jpg
9791160404555,F,40,1,0,1,1,0,18,고도일보 송가을인데요 :송경화 장편소설,https://image.aladin.co.kr/product/26612/85/cover/k462739030_1.jpg
9791189159887,F,8,1,0,0,0,0,11,(상처를 치유하는) 감정식당,https://image.aladin.co.kr/product/26681/75/cover/k682730989_1.jpg
9788960518438,F,14,1,0,1,1,0,16,겨울이 지나간 세계,https://image.aladin.co.kr/product/26237/74/cover/8960518433_1.jpg
9788952242877,F,40,1,0,0,0,0,18,BTS 오디세이 :고통과 치유의 이야기,https://image.aladin.co.kr/product/26680/96/cover/8952242874_1.jpg
9788931021998,F,40,1,0,0,0,0,1,17일,https://image.aladin.co.kr/product/25967/85/cover/8931021992_1.jpg
9791130817736,F,20,1,0,0,0,0,1,(현대문학 교수 350명이 뽑은) 2021 올해의 문제소설,https://image.aladin.co.kr/product/26556/48/cover/k852738930_1.jpg
9788957001646,F,40,1,0,0,0,0,2,(언제 어디서나 통하는) 프랑스어 일상회화사전,https://image.aladin.co.kr/product/26730/26/cover/8957001646_1.jpg
9791185980362,M,30,1,0,0,0,0,8,이 책 한 권만 외워봐! 영어회화가 술술 나온다,https://image.aladin.co.kr/product/26714/30/cover/k812730081_1.jpg
9791164050918,F,14,1,0,0,0,0,12,빨강 머리 앤과 함께하는 영어,https://image.aladin.co.kr/product/26702/66/cover/k172730089_1.jpg
9791155717332,F,30,1,0,0,1,0,14,(미국 SAT 스타강사 알버트 쌤의) 미국식 찐 영어 :영어는 바닥이지만 유학과 새 인생을 꿈꾼다,https://image.aladin.co.kr/product/26548/99/cover/k192738833_1.jpg
9791190938617,F,8,1,0,0,0,0,9,(한 권으로 배우는) 음악 이야기 :내 삶에 영향을 주는 음악 수업,https://image.aladin.co.kr/product/26648/13/cover/k552739331_1.jpg
9788925588988,F,20,1,0,0,0,0,17,"통찰, 현대대중문화와 예술 =Insight, modern pop culture and art",https://image.aladin.co.kr/product/26563/95/cover/8925588986_1.jpg
9791197317316,M,8,1,0,0,0,1,10,"페테르부르크, 막이 오른다",https://image.aladin.co.kr/product/26544/86/cover/k292738830_1.jpg
9791191278262,F,40,1,0,0,1,0,10,"어쩌다 이탈리아, 미술과 걷다 :어슬렁어슬렁 누비고 다닌 미술 여행기",https://image.aladin.co.kr/product/26684/2/cover/k692730981_1.jpg
9791190893527,F,20,1,0,0,0,0,8,생애。전환。학교 :모험을 디자인하는 신중년 문화예술 수업,https://image.aladin.co.kr/product/26681/0/cover/k572730887_1.jpg
9791159099465,F,20,1,0,0,0,0,12,수집의 세계 :어느 미술품 컬렉터의 기록,https://image.aladin.co.kr/product/26700/6/cover/k612730983_1.jpg
9791165794415,M,14,1,0,0,0,0,8,사진이 말하고 싶은 것들,https://image.aladin.co.kr/product/26419/74/cover/k452738529_1.jpg
9791189346201,F,40,1,0,0,0,0,5,베르디 오페라 :26편의 오페라로 읽는 베르디의 일생,https://image.aladin.co.kr/product/26676/26/cover/k902730881_1.jpg
9791197104664,F,40,1,0,0,0,0,16,"밥보다 재즈 :아름다운 교양, 1일 1재즈 스탠더드 듣기",https://image.aladin.co.kr/product/26551/62/cover/k002738837_1.jpg
9791166493898,F,14,1,0,0,0,0,12,미술로 사랑을 꿈꾸다 :인문정신으로 시작하는 미술이야기,https://image.aladin.co.kr/product/26715/25/cover/k642730082_1.jpg
9791165370947,F,20,1,0,0,0,0,11,미술관에 간 개냥이,https://image.aladin.co.kr/product/26614/9/cover/k582739032_2.jpg
9791191266061,F,40,1,0,0,0,0,5,다정한 클래식,https://image.aladin.co.kr/product/26651/19/cover/k252739333_1.jpg
9788932431475,F,40,1,0,0,0,0,14,니진스키 :인간을 넘어선 무용,https://image.aladin.co.kr/product/26702/69/cover/8932431477_1.jpg
9791158463489,F,40,1,0,0,0,0,3,"(초등 3, 4학년에 시작하는) 하루 20분 초등 고전 읽기 :공부머리, 사고머리를 키우는 진짜 독서 습관",https://image.aladin.co.kr/product/26412/95/cover/k022738423_1.jpg
9788965964285,M,20,1,0,0,0,0,8,통증이 사라진다! :10초 트리거 포인트 누르기,https://image.aladin.co.kr/product/26678/32/cover/8965964288_1.jpg
9791191393064,F,30,1,0,0,0,0,3,탈무드 교육의 힘 :스스로 생각하고 질문하는 아이로 키워라,https://image.aladin.co.kr/product/26716/20/cover/k352730084_1.jpg
9791156162049,F,8,1,0,0,0,0,2,파스타와 샐러드 =레스토랑에서 인기 많은 이탈리아 가정식 /Pasta and salad,https://image.aladin.co.kr/product/26722/16/cover/k792730188_1.jpg
9791189328382,F,40,1,1,0,0,1,8,코로나 시대 아이 생활 처방전 :아동심리 전문가들이 제시하는 코로나 위기 극복 솔루션,https://image.aladin.co.kr/product/26556/96/cover/k902738933_1.jpg
9791191221077,F,40,1,0,0,0,0,9,코로나19 백신 :현직 의사들이 친절하게 알려드립니다,https://image.aladin.co.kr/product/26618/69/cover/k452739139_1.jpg
9791185788241,M,30,1,0,0,0,0,13,치유하는 효소 =Healing enzyme,https://image.aladin.co.kr/product/26625/71/cover/k972739239_1.jpg
9791164050901,F,40,1,1,0,0,0,3,"초등학교 생활의 모든 것 :선생님이 정확하게 짚어주는 친구관계, 공부방법, 학교생활, 생활습관",https://bookthumb-phinf.pstatic.net/cover/180/307/18030710.jpg?type=m1&udate=20210227
9791190255097,F,40,1,0,0,0,0,11,(츠모토식) 어식혁명,https://image.aladin.co.kr/product/26624/96/cover/k682739136_1.jpg
9791191439007,F,40,1,1,0,0,0,2,"초등 4학년, 아이가 수학을 포기하기 전에",https://image.aladin.co.kr/product/26541/45/cover/k342738733_1.jpg
9791190872102,F,30,1,0,0,0,0,18,좋은 엄마 말고 나란 엄마 :좋은 엄마가 되고 싶어 나를 잃은 당신에게,https://image.aladin.co.kr/product/26677/72/cover/k172730882_1.jpg
9791190853101,F,40,1,0,0,0,0,10,"전후 일본 건축 :패전과 고도성장, 버블과 재난에 일본 건축은 어떻게 대응했을까",https://image.aladin.co.kr/product/26556/99/cover/k072738933_1.jpg
9791190938600,F,40,1,0,0,1,0,2,자연을 담은 엄마 요리 :계절마다 챙겨 먹으면 좋은 제철 음식 204가지,https://image.aladin.co.kr/product/26602/11/cover/k162739915_1.jpg
9788957694794,F,8,1,0,0,0,0,3,"이것은 변기가 아닙니다 :비비시스템, 화장실에서 시작되는 생태 혁명",https://image.aladin.co.kr/product/26628/75/cover/895769479x_1.jpg
9791188073658,F,20,1,0,0,0,0,11,이혼에 대처하는 유능한 부부양성 :이혼이란 감정과 단어가 불쑥불쑥 차오를 때 찾아 읽는 이혼 위기 극복 가이드북,https://image.aladin.co.kr/product/26536/53/cover/k582738738_1.jpg
9788965743408,F,50,1,0,0,0,0,7,우리가 사랑할 때 물어야 할 여덟 가지 :행복한 남녀관계를 위한 대화 수업,https://image.aladin.co.kr/product/26607/22/cover/8965743400_1.jpg
9791191309010,F,30,1,0,0,0,0,2,워킹맘을 위한 초등 1학년 준비법,https://image.aladin.co.kr/product/26426/97/cover/k092738525_1.jpg
9791190855181,F,40,1,0,0,0,0,12,유기농 농부 :30주년 기념판,https://image.aladin.co.kr/product/26702/60/cover/k012730089_1.jpg
9791165191047,F,20,1,0,0,0,0,9,우리 아이도 영재로 키울 수 있다 :서울대학교 이선영 교수의 영재성 계발과 교육 이야기,https://image.aladin.co.kr/product/26566/51/cover/k302738034_1.jpg
9791191307108,F,8,1,0,0,0,0,11,우리 집에 식물을 들여도 괜찮을까요? :나에게 맞는 반려식물 찾는 법부터 실내 인테리어까지,https://image.aladin.co.kr/product/24790/63/cover/k282738737_1.jpg
9791190282185,F,40,1,1,0,0,0,3,우리 아이 첫 음악 수업 :현직 교사들이 알려주는 부모가 알아야 할 음악교육의 모든 것,https://image.aladin.co.kr/product/26548/92/cover/k612738832_1.jpg
9791191343007,F,40,1,0,0,0,1,14,우리 아이 수학 영재 만들기,https://image.aladin.co.kr/product/26535/30/cover/k042738627_1.jpg
9791161691480,F,40,1,0,0,0,0,12,엄마의 감정이 말이 되지 않게 :초등 아이 마음 다치지 않는 엄마의 말들,https://image.aladin.co.kr/product/26430/82/cover/k352738629_1.jpg
9788934986652,F,0,1,1,1,1,1,4,어떻게 말해줘야 할까 :오은영의 현실밀착 육아회화,https://image.aladin.co.kr/product/25313/30/cover/8934986654_1.jpg
9791191426076,F,40,1,0,0,1,0,8,"엄마, 나도 사랑을 해요 :성 지식보다 감정을 먼저 가르치는 행복한 핀란드식 성교육",https://bookthumb-phinf.pstatic.net/cover/180/583/18058361.jpg?type=m1&udate=20210303
9788963723471,F,40,1,0,0,0,0,8,아임 파인 :자폐인 아들의 일기장을 읽다,https://image.aladin.co.kr/product/25967/85/cover/896372347x_1.jpg
9788961412681,M,20,1,0,0,0,0,8,암 치유 면역력의 놀라운 힘 :암 환자를 위한 암 치유 길잡이!,https://image.aladin.co.kr/product/26612/44/cover/896141268x_1.jpg
9791191462005,F,8,1,0,0,0,0,19,아이를 사랑하는 일 :우리 아이만의 가능성을 꽃피우는 존중 육아의 힘,https://image.aladin.co.kr/product/26653/88/cover/k702739438_1.jpg
9791186766064,M,40,1,0,0,1,0,12,수산물이 맛있어지는 순간 :<입질의 추억> 김지민이 들려주는 우리 식탁 위 수산물의 비밀!,https://image.aladin.co.kr/product/26654/78/cover/k552739746_1.jpg
9791125491958,F,40,1,0,0,0,0,3,"아름다움을 엮다, 전통매듭 :모던한 감성을 담은 매듭 소품",https://image.aladin.co.kr/product/26558/30/cover/k062738935_1.jpg
9791156161998,F,8,1,0,0,0,0,8,실내식물 죽이지 않고 잘 키우는 방법,https://image.aladin.co.kr/product/26681/27/cover/k352730988_1.jpg
9791157844876,F,40,1,1,0,0,1,2,(상위 1% 아이가 하고 있는) 서울대 아빠식 문해력 독서법 :독서법부터 다른 영재원 과학고 아이들의 비밀,https://bookthumb-phinf.pstatic.net/cover/180/583/18058373.jpg?type=m1&udate=20210303
9791165453350,F,40,1,0,0,0,0,2,부자농부의 창업 이야기 :농사업으로 내 인생의 풍년을 경작하라,https://image.aladin.co.kr/product/26625/38/cover/k492739238_1.jpg
9791158741112,M,40,1,1,0,0,0,9,방구석 랜선 육아 :교육 전문가 엄마 9인이 쓴 나홀로 육아 탈출기,https://image.aladin.co.kr/product/26543/68/cover/k852738838_1.jpg
9791157686926,F,40,1,0,1,0,1,8,무조건 살 빠지는 다이어트 :식단 없이 운동 없이,https://image.aladin.co.kr/product/26427/96/cover/k362738527_1.jpg
9788998439897,F,40,1,0,0,0,0,2,만두 :한중일 만두와 교자의 문화사,https://image.aladin.co.kr/product/26682/17/cover/8998439891_1.jpg
9791156162025,F,30,1,0,0,0,0,11,(산부인과·소아과 전문의가 꼼꼼히 알려주는) 똑똑하고 건강한 첫 임신 출산 육아,https://image.aladin.co.kr/product/26701/81/cover/k522730987_1.jpg
9791186578865,F,8,1,1,1,0,0,15,내 아이는 내 뜻대로 키울 줄 알았습니다,https://bookthumb-phinf.pstatic.net/cover/180/583/18058309.jpg?type=m1&udate=20210303
